SINONIMIA,MEDICAMENTO
ANNULATED SEA SNAKE                               ,HYDROPHIS CYANOCINCTUS
ANONYMOS SEMPERVIRENS                             ,GELSEMIUM SEMPERVIRENS
ANTHELMINTHIA QUADRIPHYLLA                        ,SPIGELIA ANTHELMIA
ANTHEMIS AUREA                                    ,ANTHEMIS NOBILIS
ANTHEMIS VULGARIS                                 ,CHAMOMILLA
ANTHOS SYLVESTRIS                                 ,LEDUM PALUSTRE
ANTHRAXINUM                                       ,ANTHRACINUM
ANTHROKOKALI                                      ,ANTHRAKOKALI
ANTIBIOTICOS POOL                                 ,POLIANTIBIOTICOS
ANTIFEBRINUM                                      ,ACETANILIDUM
ANTIGENOS ALIMENTOS,ANTIGENOS DESSENSIBILIZANTES
ANTIGENOS BACTERIANOS E MICOTICOS (H)             ,HOMEOIMUNUM
ANTIGENOS BACTERIANOS E MICOTICOS + LISOZIMA (H)  ,HOMEOIMUNUM
ANTIGENOS BACTERIAS,ANTIGENOS DESSENSIBILIZANTES
ANTIGENOS MISTOS+AC EPSILON-AMINOCAPROICO (H)     ,MULTIGENUM
"ANTIGENOS SUBST INALAVEIS, ALIMENTOS E BACTERIAS  ",ANTIGENOS DESSENSIBILIZANTES
ANTIGENOS SUBSTANCIAS INALAVEIS,ANTIGENOS DESSENSIBILIZANTES
"ANTIGENOS SUBSTANCIAS INALAVEIS, ALIMENTOS E BACTERIAS",ANTIGENOS DESSENSIBILIZANTES
ANTIMATERIE                                       ,POSITRONIUM
ANTIMATTER                                        ,POSITRONIUM
ANTIMONII IODIDUM                                 ,ANTIMONIUM IODATUM
ANTIMONII JODIDUM                                 ,ANTIMONIUM IODATUM
ANTIMONII OXYSULPHURETUM                          ,ANTIMONIUM SULPHURATUM AUREUM
ANTIMONII POTASSIO-TARTRAS                        ,ANTIMONIUM TARTARICUM
ANTIMONII SULPHIDUM                               ,ANTIMONIUM CRUDUM
ANTIMONII SULPHURETUM                             ,ANTIMONIUM CRUDUM
ANTIMONII SULPHURETUM AUREUM                      ,ANTIMONIUM SULPHURATUM AUREUM
ANTIMONIUM                                        ,ANTIMONIUM CRUDUM
ANTIMONIUM ARSENICUM                              ,ANTIMONIUM ARSENICOSUM
ANTIMONIUM ARSENITUM                              ,ANTIMONIUM ARSENICOSUM
ANTIMONIUM CHLORIDUM                              ,ANTIMONIUM MURIATICUM
ANTIMONIUM JODATUM                                ,ANTIMONIUM IODATUM
ANTIMONIUM MET                                    ,ANTIMONIUM METALLICUM
ANTIMONIUM MUR                                    ,ANTIMONIUM MURIATICUM
ANTIMONIUM NIGRUM                                 ,ANTIMONIUM CRUDUM
ANTIMONIUM OXYSULPHURATUM                         ,ANTIMONIUM SULPHURATUM RUBRUM
ANTIMONIUM PURUM                                  ,ANTIMONIUM METALLICUM
ANTIMONIUM SULPH RUB                              ,ANTIMONIUM SULPHURATUM RUBRUM
ANTIMONIUM SULPH RUBEUM                           ,ANTIMONIUM SULPHURATUM RUBRUM
ANTIMONIUM SULPHURATUM                            ,ANTIMONIUM CRUDUM
ANTIMONIUM SULPHURATUM AURANTIACUM                ,ANTIMONIUM SULPHURATUM AUREUM
ANTIMONIUM SULPHURATUM AURATUM                    ,ANTIMONIUM SULPHURATUM AUREUM
ANTIMONIUM TART                                   ,ANTIMONIUM TARTARICUM
APARINE HISPIDA                                   ,GALIUM APARINE
APARINE VULGARIS                                  ,GALIUM APARINE
APERTA-RUAO                                       ,PIPER ADUNCUM
APHIS CHENOPODII GLAUCI                           ,CHENOPODII GLAUCI APIS
APICOMPLEXA Tgii                                  ,TOXOPLASMA GONDII
APICOMPLEXA TGii (EPMSTGT)                        ,TOXOPLASMA GONDII EPIMASTIGOTA
APINUM CICUTARIUM                                 ,AETHUSA CYNAPIUM
APIS                                              ,APIS MELLIFICA
APIS MELL                                         ,APIS MELLIFICA
APIS VIRUS                                        ,APIUM VIRUS
APISINUM                                          ,APIUM VIRUS
APIUM CARVI                                       ,CARUM CARVI
APIUM CICUTARIUM                                  ,AETHUSA CYNAPIUM
APIUM CRISPUM                                     ,PETROSELINUM SATIVUM
APIUM ECHINATUM                                   ,APIUM GRAVEOLENS
APIUM HORTENSE                                    ,PETROSELINUM SATIVUM
APIUM PETROLESINUM                                ,PETROSELINUM SATIVUM
APOCYNUM                                          ,APOCYNUM CANNABINUM
APOCYNUM HIPERICIFOLIUM                           ,APOCYNUM CANNABINUM
APOCYNUM MUSCIPULUM                               ,APOCYNUM ANDROSAEMIFOLIUM
APOCYNUM PISCATORIUM                              ,APOCYNUM CANNABINUM
APOCYNUM PUBESCENS                                ,APOCYNUM CANNABINUM
APOCYNUM SIBIRICUM                                ,APOCYNUM CANNABINUM
APOCYNUM VENETUM                                  ,APOCYNUM CANNABINUM
APOMORPHIA                                        ,APOMORPHINUM
APOMORPHINAE HYDROCHLORAS                         ,APOMORPHINUM MURIATICUM
APOMORPHINUM  HYDROCHLORICUM                      ,APOMORPHINUM MURIATICUM
APULEIA FERREA                                    ,CAESALPHINEA FERREA
APUNIA TUNA                                       ,CEREUS BONPLANDII
AQUA AMMONIAE                                     ,AMMONIUM CAUSTICUM
AQUA FORTIS                                       ,ACIDUM NITRICUM
AQUA GLANDIUM QUERCUS                             ,QUERCUS GLANDIUM SPIRITUS
AQUA SKOOKUM CHUCK                                ,SKOOKUM CHUCK
AQUARELA TINTA                                    ,TINTA AQUARELA
AQUILA CHRYSAETOS                                 ,EAGLE
AQUILEGIA                                         ,AQUILEGIA VULGARIS
ARAGALLUS                                         ,ASTRAGALUS LAMBERTII
ARAGALLUS LAMB                                    ,ASTRAGALUS LAMBERTII
ARAGALLUS LAMBERTII                               ,ASTRAGALUS LAMBERTII
ARALIA RAC                                        ,ARALIA RACEMOSA
ARANEA                                            ,ARANEA DIADEMA
ARANEA AVICULARIS                                 ,MYGALE LASIODORA
ARANEA CUBENSIS                                   ,TARENTULA CUBENSIS
ARANEA DIADEMACACABUM                             ,CARDIOSPERMUM HALICACABUM
ARANEA TARANTULA                                  ,TARENTULA HISPANICA
ARANEARUM TELA                                    ,TELA ARANEA
ARANEUS DIADEMATUS                                ,ARANEA DIADEMA
ARAROBA                                           ,CHRYSAROBINUM
ARBOR VITAE                                       ,THUYA OCCIDENTALIS
ARBUTUS ANDRACHNE                                 ,ARBUTUS ADRACHNE
ARBUTUS INTEGRIFOLIA                              ,ARBUTUS ADRACHNE
ARBUTUS SERRATIFOLIA                              ,ARBUTUS ADRACHNE
ARBUTUS UVA URSI                                  ,UVA URSI
ARCANUM DUPHICATUM                                ,KALI SULFURICUM
ARCHANGELIACA OFFICINALIS                         ,ANGELICA OFFICINALIS
ARCHANGELICA DECURRENS                            ,ANGELICA OFFICINALIS
ARCTIUM BARDANA                                   ,LAPPA MAJOR
ARCTIUM LAPPA                                     ,LAPPA MAJOR
ARCTIUM MAJUS                                     ,LAPPA MAJOR
ARCTIUM MINUS                                     ,LAPPA MAJOR
ARCTIUM NEMOROSUM                                 ,LAPPA MAJOR
ARCTIUM PUBERIS                                   ,LAPPA MAJOR
ARCTIUM TOMENTOSUM                                ,LAPPA MAJOR
ARCTOSTAPHYLOS OFFICINALIS                        ,UVA URSI
ARCTOSTAPHYLOS UVA URSI                           ,UVA URSI
ARECA FAUFEL                                      ,ARECA CATECHU
ARGEMONE                                          ,ARGEMONE MEXICANA
ARGEMONE ALBA                                     ,ARGEMONE MEXICANA
ARGEMONE ALBIFLORA                                ,ARGEMONE MEXICANA
ARGEMONE OCHROLEUCA                               ,ARGEMONE MEXICANA
ARGENTI IODIDUM                                   ,ARGENTUM IODATUM
ARGENTI NITRAS                                    ,ARGENTUM NITRICUM
ARGENTII CHLORIDUM                                ,ARGENTUM MURIATICUM
ARGENTUM                                          ,ARGENTUM METALLICUM
ARGENTUM CHLORATUM                                ,ARGENTUM MURIATICUM
ARGENTUM FOLIATUM                                 ,ARGENTUM METALLICUM
ARGENTUM HYDROCHLORICUM                           ,ARGENTUM MURIATICUM
ARGENTUM MUR                                      ,ARGENTUM MURIATICUM
ARGENTUM  PHOSPH                                  ,ARGENTUM PHOSPHORICUM
ARGENTUM VIVUM                                    ,MERCURIUS VIVUS
ARGILA PURA                                       ,ALUMINA
ARGOMON AULAGA                                    ,ULEX EUROPAEUS
ARGON                                             ,ARGONIUM
ARISAEMA ATRORUBENS                               ,ARUM TRIPHYLLUM
ARISAEMA BRASILIANUM                              ,ARUM TRIPHYLLUM
ARISAEMA DRACONTIUM                               ,ARUM DRACONTIUM
ARISARUM MACULATUM                                ,ARUM MACULATUM
ARISTOLOCHIA                                      ,ARISTOLOCHIA CLEMATITIS
ARISTOLOCHIA CRETICAE                             ,ARISTOLOCHIA CLEMATITIS
ARISTOLOCHIA GRANDIFLORA                          ,ARISTOLOCHIA CYMBIFERA
ARISTOLOCHIA LONGA                                ,ARISTOLOCHIA CLEMATITIS
ARISTOLOCHIA MILHOMENS                            ,ARISTOLOCHIA CYMBIFERA
ARISTOLOCHIA ROTUNDA                              ,ARISTOLOCHIA CLEMATITIS
ARISTOLOCHIA SAGITATA                             ,ARISTOLOCHIA SERPENTARIA
ARISTOLOCHIA VULGARIS                             ,ARISTOLOCHIA CLEMATITIS
ARMADILLO OFFICINALIS                             ,ONISCUS ASELLUS
ARMORACIA                                         ,COCHLEARIA ARMORACIA
ARMORACIA RUSTICANA                               ,COCHLEARIA ARMORACIA
ARMORACIA SATIVA                                  ,COCHLEARIA ARMORACIA
ARNICA                                            ,ARNICA MONTANA
ARNICA DO MATO                                    ,SOLIDAGO MICROGLOSSA
ARNICA SELVAGEM                                   ,SOLIDAGO MICROGLOSSA
ARNICA SILVESTRE                                  ,SOLIDAGO MICROGLOSSA
AROEIRA                                           ,SCHINUS AROEIRA
AROEIRA-DO-SERTAO                                 ,MYRACRODRUON URUNDEUVA
ARROZ                                             ,ORYZA SATIVA
ARRUDA                                            ,RUTA GRAVEOLENS
ARSENECI IODUM                                    ,ARSENICUM IODATUM
ARSENECI JODIDUM                                  ,ARSENICUM IODATUM
ARSENI JODIUM                                     ,ARSENICUM IODATUM
ARSENI TRI JODIDUM                                ,ARSENICUM IODATUM
ARSENIAS CUPRI                                    ,CUPRUM ARSENICOSUM
ARSENIAS NATRICUS                                 ,NATRUM ARSENICOSUM
ARSENIAS SODICUS                                  ,NATRUM ARSENICOSUM
ARSENICUM                                         ,ARSENICUM ALBUM
ARSENICUM BISULFURETUM                            ,ARSENICUM SULFURATUM RUBER
ARSENICUM BISULPHIDUM                             ,ARSENICUM SULFURATUM RUBER
ARSENICUM CITRINUM                                ,ARSENICUM SULFURATUM FLAVUM
ARSENICUM GRISEUM ELEMENTARE                      ,ARSENICUM METALLICUM
ARSENICUM HYDROGENISATUM                          ,ARSENICUM HYDROGENATUM
ARSENICUM JODATUM                                 ,ARSENICUM IODATUM
ARSENICUM RUBRUM                                  ,ARSENICUM SULFURATUM RUBER
ARSENICUM SULFURATUM                              ,ARSENICUM SULFURATUM FLAVUM
ARSENICUM SULPHURATUM                             ,ARSENICUM SULFURATUM FLAVUM
ARSENICUM SULPHURATUM FLAVUM                      ,ARSENICUM SULFURATUM FLAVUM
ARSENICUM SULPHURATUM RUBRUM                      ,ARSENICUM SULFURATUM RUBER
ARSENICUM SULPHURETUM FLAVUM                      ,ARSENICUM SULFURATUM FLAVUM
ARSENII ANHYDRIDUM                                ,ARSENICUM ALBUM
ARSENII SULPHIDUM                                 ,ARSENICUM SULFURATUM FLAVUM
ARSENITE OF ANTIMONY                              ,ANTIMONIUM ARSENICOSUM
ARSENIUM                                          ,ARSENICUM METALLICUM
ARSENUM                                           ,ARSENICUM METALLICUM
ARTANITA CYCLAMEN                                 ,CYCLAMEN EUROPAEUM
ARTEMISIA                                         ,ARTEMISIA VULGARIS
ARTEMISIA ABROTANUM                               ,ABROTANUM
ARTEMISIA ABSINTHIUM                              ,ABSINTHIUM
ARTEMISIA AUSTRIACA                               ,CINA
ARTEMISIA CINA                                    ,CINA
ARTEMISIA CONTRA                                  ,CINA
ARTEMISIA HETEROPHYLLUS                           ,ARTEMISIA VULGARIS
ARTEMISIA INDICA CANADENSIS                       ,ARTEMISIA VULGARIS
ARTEMISIA LERCHEANA                               ,CINA
ARTEMISIA MARITIMA                                ,CINA
ARTEMISIA MARITIMA VAR PAUCIFLORA                 ,CINA
ARTEMISIA SANTONICA                               ,CINA
ARTEMISIA SELEGENSIS                              ,ARTEMISIA VULGARIS
ARTEMISIA VAHLIANA                                ,CINA
ARTEMISIA VULG                                    ,ARTEMISIA VULGARIS
ARTERIA AORTA                                     ,AORTA
ARTICULACAO ATLAS                                 ,ARTICULACAO ATLAS (CARNEIRO)
ARTICULACAO COTOVELO (CARNEIRO)                   ,LIGAMENTO COTOVELO
ARTICULACAO COXO- FEMURAL (CARNEIRO)              ,LIGAMENTO COXO-FEMURAL
ARTICULACAO COXO-FEMURAL                          ,LIGAMENTO COXO-FEMURAL
ARTICULACAO JOELHO                                ,LIGAMENTO JOELHO
ARTICULACAO JOELHO (CARNEIRO)                     ,LIGAMENTO JOELHO
ARTICULACAO OMBRO (CARNEIRO)                      ,LIGAMENTO OMBRO
ARTICULACAO QUADRIL                               ,LIGAMENTO QUADRIL
ARTICULACAO TEMPORO-MANDIBULAR                    ,ARTICULACAO TEMPORO-MANDIBULAR (CARNEIRO)
ARTICULACAO TORNOZELO                             ,LIGAMENTO TORNOZELO
ARTICULACAO TOTAL                                 ,ARTICULACAO TOTAL (CARNEIRO)
ARTRITE REUMATOIDE NOSODIO                        ,OAN (OSTEOARTRITE NOSODIO)
ARUM ATRORUBENS                                   ,ARUM TRIPHYLLUM
ARUM MAC                                          ,ARUM MACULATUM
ARUM SEGUINUM                                     ,CALADIUM SEGUINUM
ARUM TRIPH                                        ,ARUM TRIPHYLLUM
ARUM VITTATUM                                     ,ARUM TRIPHYLLUM
ARUM VULGARE                                      ,ARUM MACULATUM
ARUNDO                                            ,ARUNDO MAURITANICA
